Algorithm,category,size,trial,time_us
QuickSort,Random,500,1,75
QuickSort,Random,500,2,77
QuickSort,Random,500,3,76
QuickSort,Random,500,4,71
QuickSort,Random,500,5,72
IntroSort,Random,500,1,46
IntroSort,Random,500,2,46
IntroSort,Random,500,3,46
IntroSort,Random,500,4,43
IntroSort,Random,500,5,47
QuickSort,Random,600,1,85
QuickSort,Random,600,2,87
QuickSort,Random,600,3,102
QuickSort,Random,600,4,109
QuickSort,Random,600,5,100
IntroSort,Random,600,1,55
IntroSort,Random,600,2,57
IntroSort,Random,600,3,71
IntroSort,Random,600,4,62
IntroSort,Random,600,5,66
QuickSort,Random,700,1,110
QuickSort,Random,700,2,125
QuickSort,Random,700,3,104
QuickSort,Random,700,4,103
QuickSort,Random,700,5,119
IntroSort,Random,700,1,79
IntroSort,Random,700,2,69
IntroSort,Random,700,3,79
IntroSort,Random,700,4,89
IntroSort,Random,700,5,103
QuickSort,Random,800,1,178
QuickSort,Random,800,2,163
QuickSort,Random,800,3,165
QuickSort,Random,800,4,174
QuickSort,Random,800,5,168
IntroSort,Random,800,1,115
IntroSort,Random,800,2,109
IntroSort,Random,800,3,104
IntroSort,Random,800,4,113
IntroSort,Random,800,5,77
QuickSort,Random,900,1,140
QuickSort,Random,900,2,141
QuickSort,Random,900,3,138
QuickSort,Random,900,4,150
QuickSort,Random,900,5,146
IntroSort,Random,900,1,97
IntroSort,Random,900,2,92
IntroSort,Random,900,3,94
IntroSort,Random,900,4,92
IntroSort,Random,900,5,89
QuickSort,Random,1000,1,154
QuickSort,Random,1000,2,161
QuickSort,Random,1000,3,192
QuickSort,Random,1000,4,159
QuickSort,Random,1000,5,196
IntroSort,Random,1000,1,140
IntroSort,Random,1000,2,133
IntroSort,Random,1000,3,99
IntroSort,Random,1000,4,102
IntroSort,Random,1000,5,98
QuickSort,Random,1100,1,171
QuickSort,Random,1100,2,170
QuickSort,Random,1100,3,175
QuickSort,Random,1100,4,199
QuickSort,Random,1100,5,181
IntroSort,Random,1100,1,122
IntroSort,Random,1100,2,112
IntroSort,Random,1100,3,111
IntroSort,Random,1100,4,106
IntroSort,Random,1100,5,114
QuickSort,Random,1200,1,194
QuickSort,Random,1200,2,214
QuickSort,Random,1200,3,221
QuickSort,Random,1200,4,209
QuickSort,Random,1200,5,186
IntroSort,Random,1200,1,123
IntroSort,Random,1200,2,137
IntroSort,Random,1200,3,155
IntroSort,Random,1200,4,152
IntroSort,Random,1200,5,164
QuickSort,Random,1300,1,244
QuickSort,Random,1300,2,246
QuickSort,Random,1300,3,248
QuickSort,Random,1300,4,250
QuickSort,Random,1300,5,246
IntroSort,Random,1300,1,129
IntroSort,Random,1300,2,141
IntroSort,Random,1300,3,145
IntroSort,Random,1300,4,134
IntroSort,Random,1300,5,131
QuickSort,Random,1400,1,224
QuickSort,Random,1400,2,218
QuickSort,Random,1400,3,222
QuickSort,Random,1400,4,238
QuickSort,Random,1400,5,227
IntroSort,Random,1400,1,171
IntroSort,Random,1400,2,174
IntroSort,Random,1400,3,174
IntroSort,Random,1400,4,146
IntroSort,Random,1400,5,147
QuickSort,Random,1500,1,240
QuickSort,Random,1500,2,237
QuickSort,Random,1500,3,240
QuickSort,Random,1500,4,264
QuickSort,Random,1500,5,244
IntroSort,Random,1500,1,165
IntroSort,Random,1500,2,164
IntroSort,Random,1500,3,153
IntroSort,Random,1500,4,161
IntroSort,Random,1500,5,158
QuickSort,Random,1600,1,280
QuickSort,Random,1600,2,287
QuickSort,Random,1600,3,290
QuickSort,Random,1600,4,305
QuickSort,Random,1600,5,300
IntroSort,Random,1600,1,207
IntroSort,Random,1600,2,205
IntroSort,Random,1600,3,196
IntroSort,Random,1600,4,202
IntroSort,Random,1600,5,204
QuickSort,Random,1700,1,300
QuickSort,Random,1700,2,277
QuickSort,Random,1700,3,281
QuickSort,Random,1700,4,290
QuickSort,Random,1700,5,281
IntroSort,Random,1700,1,180
IntroSort,Random,1700,2,193
IntroSort,Random,1700,3,209
IntroSort,Random,1700,4,204
IntroSort,Random,1700,5,221
QuickSort,Random,1800,1,308
QuickSort,Random,1800,2,288
QuickSort,Random,1800,3,285
QuickSort,Random,1800,4,302
QuickSort,Random,1800,5,304
IntroSort,Random,1800,1,200
IntroSort,Random,1800,2,202
IntroSort,Random,1800,3,198
IntroSort,Random,1800,4,199
IntroSort,Random,1800,5,203
QuickSort,Random,1900,1,336
QuickSort,Random,1900,2,362
QuickSort,Random,1900,3,343
QuickSort,Random,1900,4,332
QuickSort,Random,1900,5,345
IntroSort,Random,1900,1,231
IntroSort,Random,1900,2,221
IntroSort,Random,1900,3,212
IntroSort,Random,1900,4,205
IntroSort,Random,1900,5,205
QuickSort,Random,2000,1,327
QuickSort,Random,2000,2,327
